ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
441,50.00,square_kernel,square_kernel,14.56,7.28,7.71,93.33,18,"  512,    1,    1","  128,    1,    1"
363,50.00,square_kernel,square_kernel,14.27,7.14,7.71,92.17,18,"  512,    1,    1","  128,    1,    1"
354,50.00,square_kernel,square_kernel,14.18,7.09,7.71,92.78,18,"  512,    1,    1","  128,    1,    1"
394,50.00,square_kernel,square_kernel,14.30,7.15,7.71,91.74,18,"  512,    1,    1","  128,    1,    1"
426,50.00,square_kernel,square_kernel,13.98,6.99,7.72,93.22,18,"  512,    1,    1","  128,    1,    1"
415,50.00,square_kernel,square_kernel,14.53,7.26,7.72,93.23,18,"  512,    1,    1","  128,    1,    1"
375,50.00,square_kernel,square_kernel,14.21,7.10,7.72,95.10,18,"  512,    1,    1","  128,    1,    1"
369,50.00,square_kernel,square_kernel,14.43,7.22,7.72,92.49,18,"  512,    1,    1","  128,    1,    1"
392,50.00,square_kernel,square_kernel,14.18,7.09,7.72,92.51,18,"  512,    1,    1","  128,    1,    1"
443,50.00,square_kernel,square_kernel,14.27,7.14,7.73,94.66,18,"  512,    1,    1","  128,    1,    1"
395,50.00,square_kernel,square_kernel,14.21,7.10,7.73,93.63,18,"  512,    1,    1","  128,    1,    1"
339,50.00,square_kernel,square_kernel,14.59,7.30,7.73,93.72,18,"  512,    1,    1","  128,    1,    1"
388,50.00,square_kernel,square_kernel,14.18,7.09,7.73,92.89,18,"  512,    1,    1","  128,    1,    1"
391,50.00,square_kernel,square_kernel,14.43,7.22,7.73,92.29,18,"  512,    1,    1","  128,    1,    1"
350,50.00,square_kernel,square_kernel,14.05,7.02,7.73,92.70,18,"  512,    1,    1","  128,    1,    1"
371,50.00,square_kernel,square_kernel,14.34,7.17,7.74,92.08,18,"  512,    1,    1","  128,    1,    1"
387,50.00,square_kernel,square_kernel,14.18,7.09,7.75,92.82,18,"  512,    1,    1","  128,    1,    1"
430,50.00,square_kernel,square_kernel,14.11,7.06,7.75,92.27,18,"  512,    1,    1","  128,    1,    1"
435,50.00,square_kernel,square_kernel,14.34,7.17,7.75,92.95,18,"  512,    1,    1","  128,    1,    1"
373,50.00,square_kernel,square_kernel,14.34,7.17,7.75,92.27,18,"  512,    1,    1","  128,    1,    1"
410,50.00,square_kernel,square_kernel,13.98,6.99,7.76,92.61,18,"  512,    1,    1","  128,    1,    1"
353,50.00,square_kernel,square_kernel,14.40,7.20,7.76,90.72,18,"  512,    1,    1","  128,    1,    1"
384,50.00,square_kernel,square_kernel,14.24,7.12,7.77,92.77,18,"  512,    1,    1","  128,    1,    1"
408,50.00,square_kernel,square_kernel,14.24,7.12,7.78,93.10,18,"  512,    1,    1","  128,    1,    1"
409,50.00,square_kernel,square_kernel,14.46,7.23,7.78,92.09,18,"  512,    1,    1","  128,    1,    1"
438,50.00,square_kernel,square_kernel,14.30,7.15,7.79,91.70,18,"  512,    1,    1","  128,    1,    1"
368,50.00,square_kernel,square_kernel,14.11,7.06,7.79,91.98,18,"  512,    1,    1","  128,    1,    1"
379,50.00,square_kernel,square_kernel,14.21,7.10,7.79,91.43,18,"  512,    1,    1","  128,    1,    1"
399,50.00,square_kernel,square_kernel,14.27,7.14,7.79,92.29,18,"  512,    1,    1","  128,    1,    1"
385,50.00,square_kernel,square_kernel,14.50,7.25,7.79,93.16,18,"  512,    1,    1","  128,    1,    1"
